sentence,label
Dec    Well atleast in India they are one of the best company to work for in the hospitality sector Their service standards are really high  theyÂ ,POSITIVE
Varivana villas better than panchshil apartment,POSITIVE
Kharadi the world of mosquitoes,NEGATIVE
Very good society of panchsheel towerbrI am cafe   shef   brAnd good healthy food   in all brTipe disease,POSITIVE
Very expensive comparing the plot area UDS and PCMC rate Rooms are smaller especially washroom ,NEGATIVE
This is the first time where servants room has a window in most of the cases builders treat servants as slaves without providing windows,MIXED
Interiors are good but Rates are extremely high for kharadi area This might turn out to be similar to panchsheel trump tower where flats were sold for  Cr each in  and today same flats are available for resale at  cr Similar sqft carpet area flats are available in kharadi nearby areas for about  less Good Interior cost for each flat is about  lac but builder is asking almost  cr premium for the same Â…,NEGATIVE
Nakhtu said it right try hard and get a luxury life like this Hoping you guys will book your flat here at Panchshil towers All the best ,POSITIVE
Nice project very well constructed,POSITIVE
Non agricultural order obtained fraudulently and case number  pending in civil court Pune,NEGATIVE
Maintenance is bad You get water supply with insects and live larvae Water stinks within two weeks of tank cleaning Constructions to continue till mid  making it difficult to live here peacefully Rent is exorbitant compared to what you get as facilities and amenities,NEGATIVE
Very nice society,POSITIVE
Wonderully explained each point  Very nice presentation with calm and smiling gesture  Dream Home  Thanx for showing ,POSITIVE
No provision for fresh air rejected,NEGATIVE
Shittiest overpriced shit ever seen,NEGATIVE
shit worth interior,NEGATIVE
Overpriced piece of a shit,NEGATIVE
I liked this concept of  acres of natural forest in the middle Every other realtor should get this idea forward in other ventures as well,POSITIVE
Sasta interiorbrHeights of walls are not enough  as per premium class wet kitchen are also small Anyways  marketing is good,NEGATIVE
Put  cr in FD with  interest No need to work at all  lacs earning every year after tax Complete waste of money project Only rich people who have spare money can waste their money,NEGATIVE
Not for nris Perfect for indians in india with black money,NEGATIVE
Floor plan is weird It is hard to properly utilize any space if floor plan and door position is badly planned brbrI live in a  sqft home in US and my home feels much much bigger because of better space management For  CR they should have designed it better,NEGATIVE
i would have bought it but the traffic at mundha bridge sucks it should be next to highway or main road the price range in hadapsar is  per sqft so that the price should be in between  to  cr  hadapsar is congested,NEGATIVE
If I had  CR why would I share my experience with  other people atleast marketing to dhung ke Karo,NEGATIVE
He is a perfect example of specially in builders lobby with Good  soft  polite nature he is the only person who listen and capable to do fare dealbrI personally appreciate his work in the pune maharashtra,POSITIVE
This is best tower in pune ,POSITIVE
Its in some random village outside the city Absolutely overpriced,NEGATIVE
Meanwhile got an  sqft flat in amchi MUMBAAAI for  crores Woo omg wow wow w bTT cries in Mumbaib,MIXED
This is definitely in outskirts of pune looking at the price But very good at affordable property what u get,MIXED
Really liked it because if I talk about the ratio of the villa design yards and arrangments it reflects Canadian house setup which gives you abroad vibes,POSITIVE
Problem is No school in community,NEGATIVE
Not worth to invest in pune all builder labby not good make fool to  normal investmenter and buyer,NEGATIVE
But  theres no waterwater tankers everywhere,NEGATIVE
There is no Garden in Kharadi very disappointing,NEGATIVE
its a ugly concrete desertgetting so much dusty thanks to rampant constructionsource  i stayed here for last  years,NEGATIVE
Nothing has been made the people from Mumbai have increased the price ,NEGATIVE
No parks no trees no roads no clean water high rent Its a getho full of MNCs and gated residential complexes As long as you are within these spaces you will find everything neat and tidy and well maintained Once you are on the road you are back to the rd world country People driveride like lunatics there isnt a single signal on internal Kharadi roads There is Illegal construction of mom and pop stores everywhere roads are dirty dust all over Its no comparison to BKC Even when BKC was in making it wasnt so shabby,NEGATIVE
Pani road k saathsaath waste management and sewage is a big request often we oversee this bit which leads to poor hygienelook and feel,NEGATIVE
Worst area is kharadi no water,NEGATIVE
Its so hot and theres already a water problem in Kharadi What kind of development is this Â…,NEGATIVE
Nahi chahiye bhai ye concrete ke jungle Give Mr my old pune back,NEGATIVE
Its great to have bkc in pune and the construction and development seems promising but what about Roads Connectivity traffic and another big issue Water  brBhagwan bachaye Â…,MIXED
The flat is stunning no doubt but not so sure about the view all that construction around and that river are kind of ugly at least on camera may be they look great in person,MIXED
View Jald he jane wali hai VJ ke flat  floor ke hai and near about  buildingsbrOn plus side construction quality is very good Though maintaince is on higher side k per month for  bhk,MIXED
Amazing  propertywe are already  staying here for past  yeargud choice,POSITIVE
First of all congratulations to you and your brother for new Flat at Panchshil TowersbrbrHowever I will not recommend it to other considering its high cost  cr Maintenance around K per month and location as Kharadi known as Concrete JunglebrbrEven if people pay  Lakh per month EMI then it can take  years to clear home loanbrbrFew companies had move out of Hinjewadi and open their office at Kahradi  onwardsbrbrAfter SEZ gets over in couple of years if companies relocate to other part of City then Kharadi price can drastically come down Except Barclays most of other companies have their offices on leasebrbrPeople can easily saved  Lakhs per annum if they choose to stay even at rented apartment in other location than KharadibrbrConsidering Pandemic and in long term Hybrid work culture  days to work from home for couple of years atleast I will recommend people not to buy costly flat at KharadibrbrI had visited this property few weeks ago and there is not a single decent shop outside this property I feel even if companies stay at Kharadi in long term it can take at least next  years for Kharadi to Develop as Baner Pimple Saudagar Or Wakad area ,NEGATIVE
Its not IT park its IT building in wakad I dont know when people of Pune will understand that IT park means it should be like yerawada commerzone were  towers are there and all commercialbrBecause this kind of development there is no DEDICATED IT park Pune except hinjawadi,NEGATIVE
No puplic gardens no joging tracks  no play grounds no lakes no trees            where is town planning     pmc pcmc officers and politcions bussy in looting  money,NEGATIVE
Excellent New IT parks Pune,POSITIVE
This is called IT commercial project not IT parks approved through any authority,NEGATIVE
Please understand difference between business park and IT Park Guys dont get fool IT park reserved green space itself is more than  This park might have regional offices of reputed companies but its definitely not IT Park,NEGATIVE
LOL  acre IT parkthat should be the canteenthis is just a drama to increase flat prices,NEGATIVE
Firsttime buyers are not able to get a house while those who already have a flat to live in are buying second third and fourth flats to save on taxes The reply would be that we have money so why shouldnt we take it we are doing the right thing Because of these people the whole property market has become garbage,NEGATIVE
I did my complete selection amp registration of flat alone I was always worried if builder are making me fool But I am so happy today because of your confirmation about IT park in  wakad I Purchased my very first home just behind this IT park,MIXED
We need  to  floor glass buildings like china not this shit,NEGATIVE
How worth to invest in Majestic Marbella in terms of cost of flats quality of flats location for beter growth in future timely possession,MIXED
Wagholi Need more  years to develop no water no drainage no proper power supply and traffic will be a long living issue as any new infrastructure adding process will add to headache Ye narak hai,NEGATIVE
Kharadi east side prices dont make sense,NEGATIVE
Wagholi  chandannagar vimanagar and hinjewadi both have water and safety issues please research well before investing in such outskirts rather than buying in city center such as kothrud and deccan,NEGATIVE
I stays in wagholi water is big issue here pls dont buy property here irrespective of how reputed builder is,NEGATIVE
River on one side the city on the other apartments are very spacious density is extremely low F Tower is the best with Platinum Finish Bungalow feel in an apartment,POSITIVE
Amazing Property,POSITIVE
Builder ne to bhk flat banana chod diya hai sab  aur  bhk flat ordinary people cannot afford now its very sad,NEGATIVE
Property prices so high that Im planning to leave peaceful life in hometownÂ… build in  lac sqr feet nice building Invest another remaining amount  Current prices are unrealistic without any parameters  Anywhere unrealistic and unconvincing costsbrbrEven IT market already highly down in ressesion  Just few peoples cream buying without think since they have money somewhere to put so its first wave  brNo IT boom currently definitely will impact soon  also imagine yonger generation are jobless and working on less sal existing guys getting fired in lacs whoever is working not getting hiks no more super salariesSurely internally slow down but everyone trying marketing psychologyreality not it what we seebrbrNew strategy  increase price give late possession in meantime market will be in good conditions after  year new price new std got setbrBut current  yr definitely resale will be challenging brOutside new prices of property totally unjustified will not appreciate so be careful When purchase something amp where is very very important else there is no gain at all open eyesbrbrIts like purchasing something high of graph  and wait next  years  on same price  for next hype or luck of new IT company will arrive something exceptional will happen etc,NEGATIVE
All these real estate companies are looting people leftright and straightMoreover they are selling match box size home to people which is highly inhabitable for people brTheir sample flats are much larger than the size of flats they are selling in such sample flatsthereby cheating peopleThey are creating a false visual impression of the flats and the project they are putting up for sale,NEGATIVE
Ye sab to thik h pr yaha koi city planning nahi ki gayi H kha gardens vgera schools or others things proper city planning nahi h bs developemnt chll rhi h   City Planning honi chahiye  tbhi Ek Acchi City Ban payegiiii,NEGATIVE
For  years the guy has been saying the same thingbrWhen will the prices go downbrA flat that was  lakh has become  crore,NEGATIVE
Only business man are about to invest and middle class is looted with high rates Surprisingly small flats with high rates marked to Mumbai Post covid Pune is gone Dust climate impact more unregistered unregulated non ethtical agents How is water problem tsken care Hope Pune is not Bangalore,NEGATIVE
Property is not worth purchasing right now People should stop buying for sometime,NEGATIVE
Wake up You are buying BHK for CR Its just worth lacs properties in Hinjewadi Dont fall in this Trap,NEGATIVE
acre wilderness township Shapoorji Pallonji Best,POSITIVE
There are major structural issues in the area Resale would be a major issue as inventory is very high Skyscrapers mean huge inventory and many will come in next  to  years Also the location is very far from airport pune station government offices etc Kharadi is still better But with such high prices resale is difficult You shouldnt buy  times of your salary plus you must have  down payment,NEGATIVE
Before buying a house try staying on rent once In many societies there is no water supply brYou will get dirty water from the tanker,NEGATIVE
LIKE YOU NICE BEUATIFOOL  SIRS MEMS BROTHERS I VERY LUCKY SO LIKE YOU GREAT WORK PANCHSHIL YOO CAURFOOL PROTECTION CORUNAVAIRES PLEASE REQUEST ,POSITIVE
Good projects,POSITIVE
Faltu hai hinjewadi,NEGATIVE
I think its better to teach lessons to builders by not buying their flats until they provide good valuationHinjewadi doesnot deserve premium valuation,NEGATIVE
Poor infrastructure Seems like u hv gone  yrs back in time brFor outsiders massive issue is the terrible nexus of property brokers They make u cry bucket of tears brCz of multiple reasons have led to people with lower skills There is bias HR prefers getting sub standard talent from pune as opposed to gettinf good ppl from north or south India They dislike north n south Indians alike,NEGATIVE
PANCHSHIL TOWENS KHARADI IS GOOD PROJECT KHARADI REAL ESTATE GOOD FOR WORLD CLASS PROJECT BY RAJESH SINGH KHARADI JUNE ,POSITIVE
PANCHSIL TOWNS KHARADI REAL ESTATE KHARADI BEAUTIFUL PROJECT BY RAJESH SINGH KHARADI JUNE ,POSITIVE
KHARADI REAL ESTATE KHARADI BEAUTIFUL PROJECT amp GOOD PRODUCT IS BEST BY RAJESH SINGH KHARADI JUNE ,POSITIVE
Nice Society Rajesh Kharadi,POSITIVE
Beautiful society in kharadi Rajesh,POSITIVE
I DONT  SUGGEST     KHARADI  OR PUNE ON THE WHOLE FOR LONG TERM  ,NEGATIVE
Panchashil favourite location in punebr Pune station boat club  dhole patil road tadiwala road bund garden road mg roadbr Kalyani nagarbr Yerwadabr Kharadi br Wagholi  more interestbr MagarpattabrAnd one should always invest here,POSITIVE
These kind of project destroying the beauty of Pune slowly on the name of infrastructure development,NEGATIVE
This is very delayed project ,NEGATIVE
Today i visited your kharadi office  so nice welcome and gestures given by Sir happy for correct info we will meet again for resolution of  queries regarding pune  flat and locations  keep uploading videos and share,POSITIVE
too costly  you can find much cheaper in resale,NEGATIVE
When they first launched it they were offering lifetime open view of the stud farm and river But now they are developing all the land which makes old buyers feel cheated Who knows for what they can cheat later,NEGATIVE
Good coverage and presentation The pricing is out of bounds for the middle class After purchase maintenance costs will also be quite high Those who stay in such residences dont travel by Metro,NEGATIVE
location of this property is very bad there is no shop in  km radius,NEGATIVE
awful at the price hardly a balcony,NEGATIVE
Good project ,POSITIVE
Nice project ,POSITIVE
Good project,POSITIVE
Nice project,POSITIVE
Nice project ,POSITIVE
Nice project ,POSITIVE
Well designed layout,POSITIVE
Nice project and also good interior view,POSITIVE
                km   phase      Â…  km     Â…  Â…  km      Â…  Â…   km    it parks      North West              ,POSITIVE
I never trust builders having a lot of open spaces They usually reserve that for future construction after  years they apply for more FSI and change the plan and this impacts prelaunch buyers,NEGATIVE
Too expensive,NEGATIVE
You interchanged prices of villas and vilaments,NEGATIVE
Why new project are approvingbrWater crisis are everywhere in PunebrWater tanker rates are at pick,NEGATIVE
Awesome Thats a Spacious apartment,POSITIVE
Excellent   Expensive ,MIXED
                km   phase      Â…  km     Â…  Â…  km      Â…  Â…   km    it parks      North West              ,POSITIVE
I never trust builders having a lot of open spaces They usually reserve that for future construction after  years they apply for more FSI and change the plan and this impacts prelaunch buyers,NEGATIVE
Too expensive,NEGATIVE
You interchanged prices of villas and vilaments,NEGATIVE
Awesome Thats a Spacious apartment,POSITIVE
Perfect example for presale and launch tactics and charging premium price is austin lushbrFor many platinum token holder  commitment price and launch price has L off differencebrMany have booked due to FOMO in real estatebrSame happened with people who booked in c wingbraustin lush didnt launch tower C  Their tokens are cancelled by builder I dont know why builders are providing fake commitment also they get away with itbrLegally now prelaunch and token all the activity should be stopped and transparent system needs to be createdbrIn Current process builder has upper hand  As the demands are high they are charging premium rates hiding many detailsbrConsumer has too sufferbrOnly one solution  stop creating the demand and avoid builders like austin,NEGATIVE
Excellent   Expensive ,MIXED
Not negotiating is a sign of foolish people who are buying flats at  of the price,NEGATIVE
Good township project in dhanori lohegaon location,POSITIVE
Main problem is hard water in PWC Still municiple water didnot came Water comes with tankers They still working on that from  years  Rest is good,NEGATIVE
Our possession date was December  but I have still not received possession Such a biggest liar  making fake videos too,NEGATIVE
township is useless as you have to pay for maintainess even if you dont use  Go for asmall gatet community,NEGATIVE
Dont get into Township it will take  years to develop ,NEGATIVE
If any individual have time frame of  years then go for Township without any thought because price paid at beginning is worth enough to reap benefits like planned development centralized amenities security community and somewhere it gives that brand value among your peers and relatives,POSITIVE
Its good for retirement,POSITIVE
Good township project in dhanori lohegaon location,POSITIVE
Main problem is hard water in PWC Still municiple water didnot came Water comes with tankers They still working on that from  years  Rest is good,NEGATIVE
WTC was supposed to be operational by  With  years of construction period brbrbrBut it is delayed now so we can expect it to be completed by  or brbrBaner balewadi highstreet took  years to complete the construction same time WTC will take Since the builder is same ,NEGATIVE
Location is goodbut I think it is not NA plot,MIXED
The rates have increased,NEGATIVE
The project seemed very expensive,NEGATIVE
This is just a normal flatwhere is the duplexyou are making a fool out of meidiots,NEGATIVE
Very nice project ,POSITIVE
Nice project,POSITIVE
Wow the flat height is just amazing,POSITIVE
Nice project,POSITIVE
Nice project ,POSITIVE
Good project ,POSITIVE
Nice project,POSITIVE
Nice project ,POSITIVE
Nice project,POSITIVE
Nice project,POSITIVE
Nice township,POSITIVE
Nice project,POSITIVE
Sample flat was amazing,POSITIVE
Nice project ,POSITIVE
Nice project ,POSITIVE
Nice project ,POSITIVE
Beautiful project,POSITIVE
Nice project ,POSITIVE
Good project,POSITIVE
Nice project,POSITIVE
Nice project,POSITIVE
Hes so wrong The most appreciation real estate has got in Pune is where hes not recommending to buy Plus u get basic civic amenities by pmc in those areas only ,NEGATIVE
Great great work appreciate your effort Can you also bring up some popular layouts or plots to invest in west side ple,POSITIVE
Not much good design,NEGATIVE
As if that starbucks is going to stay there forever Betting crores for starbucks influenced property appreciation  Not to mention people wont be able to sleep due to plane noise This is not frankfurt ki raat ko  se  airport inactive rahega,NEGATIVE
Not good design for hall space cant be utilized,NEGATIVE
Noise and air pollution and traffic to airport needs to consider,NEGATIVE
Big fan of the location Â…,POSITIVE
Loot has taken place in BombaybrFor a  crore flat the monthly society maintenance alone will be around one lakh rupees lol,NEGATIVE
Seriously I dont like this building He is rich why he choose to live tower like house Feel like shortage of space,NEGATIVE
i couldnt live in here its not simple as I would like it even if I was filthy rich like the Ambanis ,NEGATIVE
Built illegally on Waqf land,NEGATIVE
Built illegally on Waqf land,NEGATIVE
Ruins the skyline of a once lovely citybrSerious eyesore,NEGATIVE
The view is still not good,NEGATIVE
You can hear the honking even from this height,NEGATIVE
Honestly i didnt like the structure of the houseit looks like childs play,NEGATIVE
The people are fed up with this,NEGATIVE
Too ugly building,NEGATIVE
Terrible design it looks like a prison in the United States,NEGATIVE
Please forgive me But from any angle this doesnt look like a house to me Yes it definitely looks like a factory Â…Â…,NEGATIVE
House is large rooms are small,NEGATIVE
HOME should be like home not HOTEL,NEGATIVE
What a terrible house ,NEGATIVE
 Billion for that hideous tower with the pollution overcrowding and noise all around is absolutely crazy brId rather live on one of the island countries in the Indian ocean away from the chaos but close enough to Mumbai if I were him,NEGATIVE
Its not a house its just a flat ,NEGATIVE
VERY AFFORDABLE IF YOU ARE PART OF  OF SHARAD PAWARDAWOOD CRICKET MAFIA n ARE ABLE TO THROW A MATCHTHE MAFIA WILL ALSO PAY FOR UR ITALIAN WEDDING,NEGATIVE
Despite having a billiondollar empire he didnt hire a gym or a trainer My family asks me why I dont take out time for the gym,NEGATIVE
Even with a billiondollar empire you didnt get a gym and a trainer brMy family asks me why I dont take time for the gym,NEGATIVE
We see their money  they see their responsibility,MIXED
Made up of cardboard Lesson do not trust until you punch the wall,NEGATIVE
This is all scam to increase carpet area by reducing wall thickness to negligible ,NEGATIVE
Seeing such a flat is saddening but reading peoples comments makes me laugh as well Sorry for her to be cheated or for her ignorance in asking about the construction materials Definitely in their agreement of  pages they would have mentioned this construction but who reads  pages in extra small font size ,MIXED
God I cant imagine how frustrated that flat owner was,NEGATIVE
Cardboard house  what a rip off,NEGATIVE
Good engineering good builders famous civil engineers we are having,POSITIVE
Generally builders used to argue that these are light weight materials used in high rise building to reduce loadBut in fact these light weight concept should be revealed to buyers upfront before payment but they dont  Also builders using these materials for huge profit by cheating,NEGATIVE
So  its very natural that you lost  crores taxes interest  home,NEGATIVE
First of all the builders are biggest thievesbrSecondly  you fools  cant you check whether its a brick wall or not brStupid ladies are fascinated by outward colours,NEGATIVE
Once builder name reputation is gone everything is gone,NEGATIVE
Look at the ironybrYet people buy houses worth  crores like this,NEGATIVE
 cr cardboard houseÂ…Â…Â…,NEGATIVE
Horrible  Cheaters are getting wealthier  become minister ,NEGATIVE
Thank god I sold my flat b these videos came out feeling sorry for purchaser,NEGATIVE
Very good properties  Beautifully located  Gives a very modern Scandinavian feel  However very poor customer experience journey  Disappointed with the pune sales team  Not detail oriented at all Could have been much better  Dropped the plan of further interaction ahead due to poor response time and management,MIXED
"The Panchsil teams knowledge and expertise were evident but what made it memorable was their friendliness No question was too small no concern too trivialthey made sure I felt comfortable every step of the way
If youre on the lookout for a real estate partner that adds a touch of excitement to the process Panchshil Realty is the name Kudos to the team for making my homebuying journey not just successful but genuinely enjoyable",POSITIVE
I had a wonderful experience with Panchshil Realty while purchasing my dream home The team was extremely professional and helpful in guiding me through the entire process from selecting the right property to completing the paperwork Their attention to detail and commitment to delivering highquality homes is truly commendable The amenities provided in their properties are topnotch and the maintenance services are prompt and efficient I highly recommend Panchshil Realty to anyone looking for a reliable and trustworthy real estate company Keep up the great work,POSITIVE
The properties offered by Panchshil Realty are a testament to their commitment to quality and luxury The attention to detail in the architecture design and amenities is evident from the moment you step foot onto their properties I was particularly impressed by the exquisite craftsmanship and the use of premium materials that create an ambiance of elegance and comfort,POSITIVE
Panchshil Realtys portfolio of properties is nothing short of extraordinary Their attention to detail and commitment to quality are evident in every aspect of their projects Whether its residential or commercial properties Panchshil Realty has an impressive range of options to suit various needs and preferences The design architecture and amenities of their developments are truly worldclass reflecting a perfect blend of luxury and functionality,POSITIVE
Builders are trying to seduce buyers,NEGATIVE
Nice project,POSITIVE
Nice project,POSITIVE
Great project by Raheja,POSITIVE
Good project ,POSITIVE
Nice project,POSITIVE
Nice project ,POSITIVE
Nice project,POSITIVE
Nice project ,POSITIVE
Nice project,POSITIVE
Nice project,POSITIVE
Nice project,POSITIVE
Nice project,POSITIVE
Nice project,POSITIVE
Good location ,POSITIVE
Nice project ,POSITIVE
Nice project,POSITIVE
Chandru Raheja sir is a visionary Have worked with him in past his ideas and views are something to look forward to,POSITIVE
This group is very much active on CSR activities They have collaborated with various ngos as well,POSITIVE
Raheja group has always invested huge amounts of money and efforts for social welfare and awareness,POSITIVE
Arrogant senior sales and manipulation   in rates with each client if you go through channel partners your discount is more than going directly each agreement value differs so before you purchase from them do your homework proper or you will end up paying more,NEGATIVE
This is total hogwash they have  failed at every level shoddy construction problems with water supply amp electricity supply Nonstop construction noise  POP walls poorest quality marble  list goes on ,NEGATIVE
A sad tale of tall promises  They showcase the amenities but donot tell you that about the  people that are going to use them Prospective buyers should talk to existing residents before buying I bet anyone can find a single satisfied resident Falling walls seepages broken marbles shoddy workmanship all in the name of Raheja and Premiere living Dont waste your hard earned money on this Exorbitant maintenance charged And surprise your  year maintenance is used up in  years,NEGATIVE
K Raheja Corp ignoring complaints regarding misutilisation of funds and construction defects at Raheja Vistas Premiere Pune Water and Electricity issues persist Residents frustrated seeking redressal,NEGATIVE
I am a veteran Defence Officer and have put my entire life savings into a flat in the same premises Fell into the trap of going for a very reputed builder such as K Raheja blindly The amount taken is at premium rates but the quality of material and workmanship is sub standard Recommend all prospective buyers to please visit some of the flats in Tower  amp  before taking the plunge My phone number is ,NEGATIVE
Dont fall in this publicity trap  Im an owner of a flat in the same complex  The material and workmanship used is substandard and contacting the Raheja representatives in Pune is like banging your head against a brick wallbrI am yet to come across a single satisfied resident in my towerbrAll of us bought our flats because of the Raheja name and have been sorely disappointed  brApart from tiles falling off walls doors hanging off frames and cracked marble flooring in every flat  there are electricity and water problems which Raheja refuses to addressbrPlease talk to a genuine existing owner before you even think of buying one of these ,NEGATIVE
Raheja makes poor quality flats,NEGATIVE
Interview was awesome  really appreciate the candid and practical conversation  I have one request to you please change the wallpaper or background color,POSITIVE
bNOTEb   Real estateReal Scam is a nd most corrupted sector in India now and running towards st position to grab crown of most Bribed Industry POV if your buying property from them you are paying the  premiumbased on luxury they are providing in form of amenities from its actual price,NEGATIVE
Avoid Raheja no customer support no visibility on project status,NEGATIVE
Dosto apna hi paise he inke passm he is no better than Britishers looted India n lives in London,NEGATIVE
He did not even pay salaries   his employees commited suicide while he was partying True bastard,NEGATIVE
k likes by all those financers and creditors who got commission by this absconder,NEGATIVE
Very Bad culture,NEGATIVE
They ruined it,NEGATIVE
As always they are Indians Being bad,NEGATIVE
The only better thing he can do rather than ignoring is Filming their arrogancebrbrYou did the best thing bro Ignore the scrap in the comment section who are trying to justify them by Guilt tripping you,NEGATIVE
All are disrespectful here,NEGATIVE
Dont go for ditto guys Its the worst no transparency And only updates when we follow up Very slow,NEGATIVE
This is a builder the leaders of confusion and scams so the Khoke Sarkar must have come for debt collection,NEGATIVE
Bad attitude sorry to say,NEGATIVE
 kaam  attitude,NEGATIVE
Part of slavery syatem good look for your slave life paying  lakhs for being a slave,NEGATIVE
zero privacy,NEGATIVE
Dealers loot,NEGATIVE
Despite having a billiondollar empire you didnt get a gym or a trainer brMy family asks me why I dont take time for the gym,NEGATIVE
We see their money  they see their responsibility,MIXED
they just ruined the ecosystem and social system of our india,NEGATIVE
Looks like prerequisite is to be fugly and not bathe lots of fruity looking dudes and a few homely females Interesting Looks like it would be an olfactory assault tbh,NEGATIVE
Unable to understand where is the sigma reply Simply statement given basis a query,NEGATIVE
Beautiful interiors and quite spacious,POSITIVE
Id buy it but it will require a lot of maintenance Lets skip it this time,NEGATIVE
If you sell it after  years you will not even recover your hafe of intrest,NEGATIVE
The washroom is very small,NEGATIVE
I shall become beggar to give maintenance charges,NEGATIVE
Nice home,POSITIVE
Buy a house and youll spend your whole life paying off the mortgage Â ,NEGATIVE
Everything is very good but I dont like the attached washroom Â…,NEGATIVE
"In my next life I will definitely book a flat here its too good

Thank you RHK",POSITIVE
The maintenance is very high its  Rs per square foot in Raheja,NEGATIVE
To pay the monthly maintenance I will need to do an extra job,NEGATIVE
I liked the flat and great to see u presenting the project all alone  Woman power ,POSITIVE
Best project reasonably priced not at all expensive,POSITIVE
Amazingly done interiors and lightiinggood vibes and warm house,POSITIVE
Big dislike no location and property details only faltu bakwas papad bele etc etc,NEGATIVE
Smart BHK   BHK,POSITIVE
This is nothing but nautanki Theyre showing a sample flat No guarantee ki they have bought the flat ,NEGATIVE
Congrats dont mind its my opinion whole bhk flat is really clostrophobic  see rooms are medium not big at all and toilet bathroom that too combine its so small like seriously and balcony its ridiculous rather you must look for empty bhk without interiors you got scammed seriously its hilarious cause it looks like you paid for interiors which is useless you go in village or small city also people have  big houses spacious flats with big washroom and balcony anyway its your choice again congrats,NEGATIVE
Its a useless company dont get involved,NEGATIVE
It is the worst company no claim worst,NEGATIVE
Dont take it brothers This is a very bad claim settlement  worst experience,NEGATIVE
Fraud company,NEGATIVE
Naver ever buy thair inside insurancethay are fraud companykabhi mat Lena bhai inka insurance plz plz,NEGATIVE
Thief company,NEGATIVE
Raheza has already become a fraud company builder,NEGATIVE
BJP Government is not taking any action on Raheja Builder RERA and all doing nothing,NEGATIVE
a hrefUCkszUWHgymbdVUJgWIfYbwAfiPqIPvNCAAUaVery shameful our money has been looted by this Raheja cheater,NEGATIVE
I am a new victim of Raheja Developers who invested  in the PDPM scheme just by hearing the name and astonishingly I was allotted a shop through a draw Instead of a dedicated shop I was given a nonlockableundivided space of  sq ft Upon refusing this I was informed that my  would be forfeited This kind of extortion is something I am witnessing for the first time and it seems like,NEGATIVE
To say that Prime Minister Modi has no clue about the crores of scams by Raheja under the Pradhan Mantri Awas Yojana rather their new projects are being launched every day without any hindrance You can see their huge hoardings everywhere in Gurgaon It seems like they have bribed the entire government and administration,NEGATIVE
What is the benefit even after this news came to zee business  No action taken by Authorities All r supporter of above chor builder  Haryana govt is corrupt govt,NEGATIVE
Actually Raheja is not a developerHe is a maha ThagHe used to launch the project only to cheat the people and gets benefits of so much vast and complecated  judiciaryIts JD NRaheja is nearly  years old and will peacefully pass  years more and buyers will get nothing In Sector  Raheja Shilas low buyers booked their flats in  and we are at the end of  but Raheja has not delivered their flatsThere are so many defence officers who have booked their very hard money but when they booked flat in RAHEJA DEVELOPERS to live a peaceful life in their final stage of livethey are bound to run courts to courts,NEGATIVE
Raheja is one of the biggest thiefs of indiaonly interested to loot the investors in association with gov its staff and media people they get awards from mediafresh permission to launch new projects when all the previous projects are not completebrHaryana govt is also involved taking no strict action against the builder,NEGATIVE
We are a group of home buyers cheated by the fraud Raheja Developers We invested in Raheja Vanya at SectorA Gurugram The project was launched in  and was promised to be delivered in  Today in  the project is nowhere to completion despite the project was registered with RERA The builder is habitual defaulter and siphoned off buyers hard earned money They have standard strategy first they launched a project construct it  and then abandon it and launch new project Beware of this Brand that is Raheja Developers Ltd,NEGATIVE
I am also a customer of krishna housing scheme by raheja they are a big fraud they never reply of emails,NEGATIVE
Lets all KHS buyers suffrers get together amp form a group amp legally fight for our refund,NEGATIVE
Sir I also bought a BHK flat in Raheja Krishna Housing in  and they had promised to give it in  We have already paid around  lakh rupees but Raheja is not returning our money Please sir help us ,NEGATIVE
Raheja Revantha launched in  and not a single apartment handed over till day ,NEGATIVE
Same state for Raheja Revanta Pocession was in  but we are in  and still no sign of completion,NEGATIVE
Still not delivered frustrated with construction status Thanks for highlighting Govt pls act,NEGATIVE
Thief is Raheja developer,NEGATIVE
The same situation is there with all of Rahejas projects,NEGATIVE
In Haryana everything is set for Raheja,POSITIVE
This building under construction last  years,NEGATIVE
Please cover Raheja Oma Dharuhera This project is delayed for more than  Year Raheja Developer is big cheat there is collusion between Builder Haryana Govt and bank Its shame that Raheja developer get best developer award,NEGATIVE
Thank you to Zee Business for raising the issue of Raheja Developers Krishna Housing Project in Sohna I Rajendra Singh have been stuck in this project since December  Raheja has already taken  of the total project cost All their workers officers and employees keep changing their jobs every other month Each time I have to tell the same story to their employees over and over again They are frauds cheaters and scound,NEGATIVE
First of all I would like to thank the Zee Business and Mr Deepak Yadav who brought out the plight of allottee of Krishna Housing Scheme being developed by Ms Raheja Developers We had almost lost faith in media too who were giving Ms Raheja Developers prize for being the best builder of north India and were giving space to them to how to complete project despite the covid conditions But the fact is this builder despite collecting the money from the buyers for this affordable housing scheme has not completed even  of work on the said project Whereas he was supposed to hand over the flat in mid  ,MIXED
Raheja is a fraud builder Almost all his projects are badly delayed and those delivered have below average construction quality,NEGATIVE
Apart from  Krishna Housing Scheme another project called Raheja OMA Dharuhera is also getting delayed The booking of this project was started in ,NEGATIVE
